omega,phi_mean,phi_std,iter_mean,iter_std
0.5,1182.2277963494976,22.95137014525745,2.0,0.0
0.6,1182.2277963494976,22.95137014525745,2.0,0.0
0.7,1182.2277963494976,22.95137014525745,2.0,0.0
0.8,1182.2277963494976,22.95137014525745,2.0,0.0
0.9,1182.2277963494976,22.95137014525745,2.0,0.0
1.0,1182.2277963494976,22.95137014525745,4.0,2.8284271247461903
1.1,1194.7260127963698,22.516161984695355,74.0,6.48074069840786
1.2,1203.7697057951505,23.380192831909323,85.66666666666667,4.496912521077347
1.4,1210.298251942624,25.72594910535809,90.33333333333333,3.2998316455372216
1.6,1210.298251942624,25.72594910535809,90.33333333333333,3.2998316455372216
1.8,1210.298251942624,25.72594910535809,90.33333333333333,3.2998316455372216
